"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"DCA24WA052","INC","193562","2023-12-21T22:55:00Z","Billund","","Denmark","","OY-JZN","FALSE","None","","","0","0","0","","","55.740278","9.151944","BOEING","737","AIR","","","FALSE","2","SCHD","","NUSC","None","","Jettime A/S Denmark","N/A","FALSE","","",
"DCA24WA054","INC","193564","2023-12-21T09:07:00Z","Birmingham","","United Kingdom","","G-TUIB","FALSE","None","","None","0","0","0","","","52.453889","-1.748056","BOEING","787","AIR","BHX","Birmingham Airport","FALSE","2","","","NUSC","None","","TUI Airways","N/A","FALSE","","",
"DCA24LA051","ACC","193561","2023-12-19T18:30:00Z","St. Louis","Missouri","United States","","N8514F","FALSE","DirectorBrief","2024-03-12T04:00:00Z","None","0","0","0","A bird strike during climbout.","","38.747222","-90.361389","BOEING","737","AIR","","","FALSE","2","SCHD","","121","Substantial","VMC","SOUTHWEST AIRLINES CO","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193561","3/12/2024 6:00:00 PM",
"DCA24WA045","INC","193549","2023-12-19T18:00:00Z","Quito","","Ecuador","","HK-5434","FALSE","None","","","0","0","0","","","-0.1133","-78.3586","BOEING","737","AIR","UIO","Mariscal Sucre International Airport","FALSE","2","SCHD","","NUSC","None","","Aerosucre","N/A","FALSE","","",
"DCA24WA067","INC","193651","2023-12-19T08:42:00Z","Amsterdam","","Netherlands","","EI-STW","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","NUSC","None","","ASL Airlines","N/A","FALSE","","",
"DCA24WA059","INC","193606","2023-12-17T15:09:00Z","Brazzaville","","Congo","","TN-AKC","FALSE","None","","","0","0","0","","","-4.251667","15.253056","BOEING","737","AIR","FCBB","Maya-Maya Airport","FALSE","2","SCHD","","NUSC","Unknown","","Africa Airlines","N/A","FALSE","","",
"DCA24WA036","OCC","193488","2023-12-04T12:05:00Z","London","","United Kingdom","","EI-HET","FALSE","None","","","0","0","0","","","0","0","BOEING","737 Max 8-200","AIR","","","FALSE","","SCHD","","129","None","","Ryan Air","N/A","FALSE","","",
"DCA24WA040","OCC","193498","2023-12-01T08:00:00Z","East Midlands","","United Kingdom","","G-JMCV","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","SCHD","","129","None","","West Atlantic Airlines","N/A","FALSE","","",
"DCA24WA084","INC","193718","2023-11-30T09:56:00Z","Frankfurt","","Germany","","TF-AMK","FALSE","None","","","0","0","0","","","49.948333","7.264167","BOEING","747","AIR","HHN","Frankfurt-Hahn","FALSE","2","NSCH","","NUSC","Unknown","","Air Atlanta Icelandic","N/A","FALSE","","",
"DCA24LA034","INC","193459","2023-11-30T07:14:00Z","Kahului","Hawaii","United States","","N494HA","FALSE","DirectorBrief","","Minor","0","0","1","","","20.899501","-156.42973","BOEING","717-200","AIR","OGG","KAHULUI","FALSE","2","SCHD","","121","Minor","VMC","Hawaiian Airlines","In work","FALSE","","",
"DCA24WA033","INC","193445","2023-11-28T05:00:00Z","Glasgow","","Gabon","","G-JZHU","FALSE","None","","","0","0","0","","","55.871329","-4.434656","BOEING","737","AIR","","","FALSE","","","","NUSC","Minor","","","N/A","FALSE","","",
"DCA24WA041","OCC","193507","2023-11-21T06:00:00Z","Alger","","Algeria","","7T-VJJ","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","NSCH","","129","Unknown","","Air Algerie","N/A","FALSE","","",
"DCA24WA027","INC","193400","2023-11-17T21:25:00Z","Surat Thani","","Thailand","","HS-DBT","FALSE","None","","None","0","0","0","","","9.1326","99.135597","BOEING","737","AIR","","","FALSE","","","","NUSC","Minor","","Nok Airlines Public Company Limited","N/A","FALSE","","",
"DCA24WA026","INC","193380","2023-11-10T10:45:00Z","New Delhi","","India","","ETATL","FALSE","None","","","0","0","0","","","28.5665","77.103104","BOEING","787","AIR","VIDP","Indira Gandhi International Airport","FALSE","","","","NUSC","None","","Ethiopian Airlines","N/A","FALSE","","",
"ENG24WA004","INC","193364","2023-11-07T21:25:00Z","Addis Ababa","","Ethiopia","","ET-AXK","FALSE","None","","","0","0","0","","","0","0","BOEING","787","AIR","","","FALSE","","SCHD","","NUSC","Minor","","Ethiopian Airlines","N/A","FALSE","","",
"DCA24WA029","INC","193433","2023-11-06T21:35:00Z","Bogotá","","Colombia","","PH-BKA","FALSE","None","","None","0","0","0","","","4.702782","-74.146722","BOEING","787","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA24LA043","INC","193541","2023-10-18T23:55:00Z","Chicago","Illinois","United States","","N30913","FALSE","DirectorBrief","2024-03-12T04:00:00Z","None","0","0","0","The flight crew’s misperception of the distance required to safely pass the hangar and failure to request additional ground handling support while taxiing, which resulted in a collision with a hangar. Contributing to the accident was United Airlines Maintenance Ramp personnel’s ambiguous taxi instructions and lack of obstruction clearance guidance.","","41.991893","-87.927607","BOEING","787","AIR","ORD","CHICAGO O'HARE INTL","FALSE","2","NSCH","FERY","091","Minor","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193541","3/12/2024 6:00:00 PM",
"ENG24FA003","INC","193272","2023-10-18T16:15:00Z","Memphis","Tennessee","United States","","N287FE","FALSE","DirectorBrief","","","0","0","0","","","35.040031","-89.981873","BOEING","767","AIR","","","FALSE","","NSCH","","121","Minor","","FEDERAL EXPRESS CORP","In work","FALSE","","",
"DCA24WA018","INC","193313","2023-10-18T03:20:00Z","Frankfurt am Main","","Germany","","D-ABKM","FALSE","None","","None","0","0","0","","","50.033333","8.570556","BOEING","737-800","AIR","FRA","Frankfurt Am Main Airport","FALSE","","SCHD","","NUSC","None","","TUIfly","N/A","FALSE","","",
"DCA24WA014","INC","193264","2023-10-18T00:17:00Z","Belfast","","Ireland","","G-JMCZ","FALSE","None","","None","0","0","0","","","54.618543","-5.871764","BOEING","737","AIR","","","FALSE","2","","","NUSC","Unknown","","","N/A","FALSE","","",
"DCA24WA013","INC","193263","2023-10-17T06:20:00Z","Stocksbridge","","Gabon","","G-TAWD","FALSE","None","","","0","0","0","","","53.441543","-1.678817","BOEING","737","AIR","","","FALSE","","","","NUSC","Unknown","","","N/A","FALSE","","",
"WPR24LA015","ACC","193256","2023-10-12T10:00:00Z","Mesa","Arizona","United States","","N4777V","FALSE","DirectorBrief","2024-01-10T05:00:00Z","None","0","0","0","The flight instructor’s failure to maintain directional control during the landing roll, which resulted in a ground loop.","","33.308655","-111.64969","BOEING","A75N1(PT17)","AIR","IWA","PHOENIX-MESA GATEWAY","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","","",
"DCA24WA008","INC","193229","2023-10-08T14:05:00Z","Casablanca","","Morocco","","CN-ROU","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","GMMN","Mohamed V","FALSE","","SCHD","","NUSC","Minor","","Royal Air Maroc","N/A","FALSE","","",
"DCA24WA009","INC","193230","2023-10-05T16:35:00Z","Marrakesh","","Morocco","","CN-RGH","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","SCHD","","NUSC","None","","Royal Air Maroc","N/A","FALSE","","",
"DCA24FA002","ACC","193196","2023-10-04T23:47:00Z","Chattanooga","Tennessee","United States","","N977FD","FALSE","DirectorBrief","","None","0","0","0","","","35.035301","-85.203796","BOEING","757-236","AIR","CHA","Lovell Field Airport","FALSE","2","NSCH","","121","Substantial","","FEDERAL EXPRESS CORP","In work","FALSE","","",
"DCA24WA004","OCC","193211","2023-10-04T13:25:00Z","London","","United Kingdom","","EI-EGD","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","SCHD","","129","Unknown","","Ryan Air","N/A","FALSE","","",
"DCA23LA468","ACC","193204","2023-09-30T15:00:00Z","Denver","Colorado","United States","","N37560","FALSE","DirectorBrief","","None","0","0","0","","","39.849312","-104.67382","BOEING","737-9","AIR","KDEN","Denver International","FALSE","2","SCHD","","121","Substantial","","UNITED AIRLINES INC","In work","FALSE","","",
"DCA23LA465","ACC","193179","2023-09-28T08:57:00Z","Ann Arbor","Michigan","United States","","N804AN","FALSE","DirectorBrief","","Serious","0","1","0","","","42.2808","-83.743","BOEING","787-8","AIR","","","FALSE","2","SCHD","","121","None","","AMERICAN AIRLINES INC","In work","FALSE","","",
"DCA23WA463","INC","193145","2023-09-24T18:30:00Z","Guayaquil","","Ecuador","","HC-CUH","FALSE","None","","None","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","121","None","","Aeroregional","N/A","FALSE","","",
"ERA23LA381","ACC","193158","2023-09-19T13:15:00Z","Erwinna","Pennsylvania","United States","","N46Y","FALSE","DirectorBrief","2023-11-09T05:00:00Z","None","0","0","0","The pilot’s failure to maintain control of the airplane while taking off in a crosswind.","","40.48427","-75.099616","BOEING","B75","AIR","9N1","VANSANT","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193158","11/9/2023 6:00:00 PM",
"DCA23WA460","INC","193116","2023-09-18T04:00:00Z","Melbourne","","Australia","","VN-A819","FALSE","None","","Serious","0","1","0","","","0","0","BOEING","787","AIR","","Melbourne Aerodrome","FALSE","","","","121","None","","Bamboo Airways","N/A","FALSE","","",
"DCA23WA467","OCC","193201","2023-09-18T04:00:00Z","Beirut","","Lebanon","","A9C-OHAB","FALSE","None","","","0","0","0","","","0","0","BOEING","767","AIR","","","FALSE","","NSCH","","129","Substantial","","ABX Air","N/A","FALSE","","",
"DCA23WA453","INC","193082","2023-09-16T01:06:00Z","Thalang - Phuket","","Thailand","","RA--73141","FALSE","None","","","0","0","0","","","8.113056","98.316667","BOEING","777","AIR","VTSP","Phuket International Airport","FALSE","2","SCHD","","NUSC","Minor","","Aeroflot","N/A","FALSE","","",
"WPR23LA343","ACC","193063","2023-09-13T11:00:00Z","Monticello","Utah","United States","","N10KP","FALSE","DirectorBrief","","Minor","0","0","1","","","37.91356","-109.32524","BOEING","A75N1(PT17)","AIR","U64","","FALSE","1","","PERS","091","Substantial","VMC","","In work","FALSE","","",
"DCA23WA450","INC","193075","2023-09-08T05:00:00Z","Manchester","","United Kingdom","","G-LSAA","FALSE","None","","","0","0","0","","","53.353889","-2.275","BOEING","757","AIR","EGCC","Manchester Airport","FALSE","2","SCHD","","NUSC","None","","","N/A","FALSE","","",
"DCA23LA445","ACC","193031","2023-09-07T02:32:00Z","Hebron","Kentucky","United States","","N37531","FALSE","DirectorBrief","2023-10-17T04:00:00Z","Serious","0","1","0","An inadvertent encounter with convectively induced turbulence (CIT) during descent.","","38.7509","-85.2676","BOEING","737-9","AIR","","","FALSE","2","SCHD","","121","None","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193031","3/27/2024 6:00:00 PM",
"DCA23WA449","INC","193067","2023-09-06T21:00:00Z","Lahore","","Pakistan","","N","FALSE","None","","None","0","0","0","","","31.520396","74.404478","BOEING","737","AIR","","Allama Iqbal International Airport","FALSE","","","","NUSC","Minor","","Vision Air","N/A","FALSE","","",
"DCA23WA455","INC","193085","2023-09-06T16:35:00Z","Ballina","","Australia","","VH-YQR","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"ENG24WA002","INC","193227","2023-09-02T04:00:00Z","Rio de Janeiro","","Brazil","","PR-GUM","FALSE","None","","","0","0","0","","","-22.909653","-43.164616","BOEING","737","AIR","SDU","SANTOS DUMONT AIRPORT","FALSE","","","","NUSC","Minor","","GOL LINHAS AÉREAS S.A","N/A","FALSE","","",
"DCA23WA458","INC","193092","2023-09-01T04:00:00Z","Prague","","Czech Republic","","N175DN","FALSE","None","","None","0","0","0","","","0","0","BOEING","767-332","AIR","","","FALSE","2","","","121","None","","","N/A","FALSE","","",
"DCA23WA447","OCC","193048","2023-08-30T21:05:00Z","Honolulu","Hawaii","United States","","9V-DHC","FALSE","None","","","0","0","0","","","0","0","BOEING","777","AIR","","","FALSE","","","","121","None","","","N/A","FALSE","","",
"DCA23WA431","ACC","192963","2023-08-30T04:00:00Z","Paris","","France","","N411DX, F-GSQT","FALSE","None","","","0","0","0","","","0","0","AIRBUS, BOEING","A330-941, 777","AIR,AIR","","","FALSE,FALSE","2,","",",","129,NUSC","Minor,Substantial","",",","N/A","FALSE","","",
"DCA23WA429","INC","192961","2023-08-27T11:15:00Z","Palma de Mallorca","","Spain","","G-DRTW","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA23FA417","ACC","192903","2023-08-20T23:15:00Z","Santa Ana","California","United States","","N516AS","FALSE","DirectorBrief","","None","0","0","0","","","33.675701","-117.86799","BOEING","737-890","AIR","KSNA","John Wayne/Orange County Airport","FALSE","2","SCHD","","121","Substantial","IMC","Alaska Airlines","In work","FALSE","","",
"DCA23LA421","ACC","192927","2023-08-18T19:11:00Z","Over the","Atlantic Ocean","United States","","N209UA","FALSE","DirectorBrief","2024-03-12T04:00:00Z","Serious","0","1","8","An inadvertent encounter with clear air turbulence during cruise flight.","","40","-60","BOEING","777-222","AIR","","","FALSE","2","SCHD","","121","None","VMC","UNITED AIRLINES INC","Completed","FALSE","","",
"DCA23WA456","INC","193086","2023-08-15T04:00:00Z","Santiago","","Chile","","CC-BGI","FALSE","None","","","0","0","0","","","0","0","BOEING","787","AIR","","","FALSE","","","","129","None","","","N/A","FALSE","","",
"OPS23FA010","OCC","192847","2023-08-11T19:06:00Z","San Diego","California","United States","","N7734H, N564HV","FALSE","DirectorBrief","","","0","0","0","","","32.730189","-117.17562","BOEING, TEXTRON AVIATION INC","737-7BD, 560XL","AIR,AIR","SAN","SAN DIEGO INTL","FALSE,FALSE","2,2","SCHD",",EXEC","121,091","None,None","VMC","SOUTHWEST AIRLINES CO,HY-VEE INC","In work","FALSE","","",
"DCA23WA413","INC","192873","2023-08-09T18:55:00Z","Belfast","","Ireland","","G-NPTH","FALSE","None","","None","0","0","0","","","54.6575","-6.215833","BOEING","737","AIR","EGAA","Belfast International Airport","FALSE","2","NSCH","","NUSC","Unknown","","TBD","N/A","FALSE","","",
"WPR23LA307","ACC","192826","2023-08-08T11:30:00Z","Red Lodge","Montana","United States","","N56907","FALSE","DirectorBrief","","Minor","0","0","1","","","45.1848","-109.2577","BOEING","A75N1(PT17)","AIR","RED","RED LODGE","FALSE","1","","PERS","091","Substantial","VMC","","In work","FALSE","","",
"DCA23WA414","INC","192874","2023-08-07T12:00:00Z","Barcelona","","Venezuela","","YV3158","FALSE","None","","None","0","0","0","","","10.107222","-64.689167","BOEING","737","AIR","","","FALSE","2","SCHD","","NUSC","None","","Not Provided","N/A","FALSE","","",
"DCA23WA401","ACC","192840","2023-08-07T07:10:00Z","South Kalimantan","","Indonesia","","PK-GNM","FALSE","None","","None","0","0","0","","","-3.442222","114.7625","BOEING","737","AIR","WAOO","Syamsudin Noor International Airport","FALSE","2","SCHD","","NUSC","Substantial","","PT Garuda Indonesia (Persero), Tbk","N/A","FALSE","","",
"DCA23WA398","INC","192816","2023-08-07T04:00:00Z","Ningbo","","China","","N401KZ","FALSE","None","","None","0","0","0","","","0","0","BOEING","747-481F","AIR","ZSNB","Ningbo Lishe International Airport","FALSE","4","NSCH","","121","None","","KALITTA AIR LLC","N/A","FALSE","","",
"DCA23LA409","ACC","192860","2023-08-03T02:06:00Z","Chantilly","Virginia","United States","","N676UA","FALSE","DirectorBrief","","","0","0","0","","","38.947456","-77.459929","BOEING","767-322","AIR","IAD","WASHINGTON DULLES INTL","FALSE","2","SCHD","","121","Substantial","","UNITED AIRLINES INC","In work","FALSE","","",
"DCA23LA384","ACC","192744","2023-07-29T10:34:00Z","Houston","Texas","United States","","N641UA","FALSE","DirectorBrief","","None","0","0","0","","","29.989605","-95.344154","BOEING","767-322","AIR","IAH","GEORGE BUSH INTCNTL/HOUSTON","FALSE","2","SCHD","","121","Substantial","","UNITED AIRLINES INC","In work","FALSE","","",
"DCA23WA393","INC","192788","2023-07-29T04:00:00Z","São Tomé","","St Lucia","","CS-TST","FALSE","None","","None","0","0","0","","","0.378471","6.712757","BOEING","767","AIR","","","FALSE","","","","NUSC","Minor","","","N/A","FALSE","","",
"DCA23WA410","INC","192861","2023-07-28T10:47:00Z","RIO DE JANEIRO","","Brazil","","PR-GXM","FALSE","None","","","0","0","0","","","-22.81","-43.250556","BOEING","737","AIR","SBGL","Rio de Janeiro/Galeão–Antonio Carlos Jobim International Airport","FALSE","2","SCHD","","NUSC","None","","GOL LINHAS AEREAS S.A.","N/A","FALSE","","",
"DCA23LA382","ACC","192742","2023-07-28T08:16:00Z","Myrtle Beach","Atlantic Ocean","United States","","N77431","FALSE","DirectorBrief","2023-11-15T05:00:00Z","Serious","0","1","0","An encounter with convectively induced turbulence (CIT) while in cruise flight.","","34.516667","-74.085278","BOEING","737-924ER","AIR","","","FALSE","2","SCHD","","121","None","IMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192742","11/15/2023 7:00:00 PM",
"DCA23LA383","ACC","192743","2023-07-24T15:30:00Z","East Palestine","Ohio","United States","","N279WN","FALSE","DirectorBrief","2023-10-16T04:00:00Z","Serious","0","1","0","An inadvertent encounter with convectively induced turbulence (CIT) during descent.","","40.88","-80.658","BOEING","737","AIR","","","FALSE","2","SCHD","","121","None","IMC","SOUTHWEST AIRLINES CO","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192743","10/16/2023 6:00:00 PM",
"DCA23WA394","ACC","192790","2023-07-24T11:00:00Z","Fuimicino","","Italy","","N189DN","FALSE","None","","None","0","0","0","","","0","0","BOEING","767-332","AIR","","","FALSE","2","SCHD","","121","Minor","","DELTA AIR LINES INC","N/A","FALSE","","",
"WPR23LA284","ACC","192717","2023-07-22T10:00:00Z","Red Lodge","Montana","United States","","N53132","FALSE","DirectorBrief","2023-11-02T04:00:00Z","","0","0","0","The pilot’s loss of directional control during landing with wind gusts, which resulted in a ground loop and collision with a fence.","","45.184833","-109.25771","BOEING","A75N1","AIR","RED","RED LODGE","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192717","11/2/2023 5:00:00 PM",
"DCA23WA377","OCC","192688","2023-07-21T08:30:00Z","Le Mans","","France","","EC-NGC","FALSE","None","","","0","0","0","","","46.796434","0.904221","BOEING","737","AIR","","","FALSE","","SCHD","","NUSC","None","","Albastar Airlines","N/A","FALSE","","",
"DCA23WA369","INC","192658","2023-07-17T14:40:00Z","San Salvador","","El Salvador","","N684DA","FALSE","None","","None","0","0","0","","","13.440833","-89.055556","BOEING","757-232","AIR","MSLP","El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez","FALSE","2","SCHD","","NUSC","Unknown","","DELTA AIR LINES INC","N/A","FALSE","","",
"DCA23WA363","ACC","192633","2023-07-17T01:30:00Z","Tel Aviv","","Israel","","OE-LRG, N918FD","FALSE","None","","","0","0","0","","","32.011398","34.8867","BOEING, BOEING","747, 757-23A","AIR,AIR","","","FALSE,FALSE",",2","",",","NUSC,121","Minor,Substantial","","Challenge Belgium,FEDERAL EXPRESS CORP","N/A","FALSE","","",
"DCA23WA387","INC","192754","2023-07-14T14:00:00Z","Corrientes","","Argentina","","LV-KCE","FALSE","None","","None","0","0","0","","","-27.447218","-58.758659","BOEING","737","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA23WA386","INC","192752","2023-07-13T04:00:00Z","Antalya","","Jordan","","JY-SOA","FALSE","None","","","0","0","0","","","31.294123","36.701929","BOEING","737","AIR","","","FALSE","","SCHD","","NUSC","None","","FLY Jordan","N/A","FALSE","","",
"DCA23WA361","INC","192619","2023-07-12T09:35:00Z","Chitose","","Japan","","JA614J","FALSE","None","","None","0","0","0","","","42.7752","141.692001","BOEING","767-300","AIR","","","FALSE","","SCHD","","NUSN","None","","Japan Airlines Co., Ltd","N/A","FALSE","","",
"DCA23WA379","OCC","192699","2023-07-06T08:57:00Z","Manaus","","Brazil","","PR-ABB","FALSE","None","","None","0","0","0","","","-3.037601","-60.045512","BOEING","767","AIR","","","FALSE","","","","NUSC","Minor","","","N/A","FALSE","","",
"ENG23LA031","INC","192493","2023-06-28T10:19:00Z","Newark","New Jersey","United States","","N37516","FALSE","DirectorBrief","","None","0","0","0","","","40.688689","-74.173724","BOEING","737-9","AIR","EWR","NEWARK LIBERTY INTL","FALSE","2","SCHD","","121","Minor","","United Airlines","In work","FALSE","","",
"DCA23FA339","ACC","192485","2023-06-28T08:58:00Z","Charlotte","North Carolina","United States","","N955AT","FALSE","DirectorBrief","","None","0","0","0","","","35.215366","-80.955103","BOEING","717-200","AIR","CLT","CHARLOTTE/DOUGLAS INTL","FALSE","2","SCHD","","121","Substantial","","Delta Air Lines Inc","In work","FALSE","","",
